epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5822,3.36213,4.69238,4.35694,0.00157,0.81034,0.00973,0.00368,3.31678,5.77553,4.15889,0.00012,0.00012,0.00012
2,117.639,3.23863,4.93303,4.32747,0.0016,0.82759,0.00674,0.0022,3.31689,5.76679,4.15873,0.00025142,0.00025142,0.00025142
3,161.878,3.35632,5.0839,4.24916,0.00167,0.86207,0.00702,0.00226,3.31734,5.74498,4.15922,0.0003736,0.0003736,0.0003736
4,206.262,3.40753,5.31902,4.11943,0.0017,0.87931,0.00677,0.00224,3.31618,5.72167,4.15944,0.00048654,0.00048654,0.00048654
5,249.964,3.13852,4.40863,4.11621,0.00167,0.86207,0.00636,0.00203,3.31776,5.68151,4.16056,0.00059024,0.00059024,0.00059024
6,297.685,3.16146,5.42331,4.06943,0.00163,0.84483,0.00615,0.00199,3.3221,5.64971,4.16351,0.0006847,0.0006847,0.0006847
7,348.71,3.00242,4.65395,4.00567,0.0016,0.82759,0.00744,0.00213,3.34445,5.60526,4.17141,0.00076992,0.00076992,0.00076992
8,392.686,3.05224,4.02178,3.78822,0.0016,0.82759,0.01177,0.00361,3.34835,5.56508,4.17566,0.0008459,0.0008459,0.0008459
9,436.199,2.80157,3.99741,3.67444,0.0016,0.82759,0.01316,0.00418,3.32881,5.43752,4.20982,0.00091264,0.00091264,0.00091264
10,478.551,2.99926,4.42233,3.66192,0.0016,0.82759,0.01503,0.00406,3.35059,5.37247,4.22344,0.00097014,0.00097014,0.00097014
11,524.454,2.86667,3.82475,3.52467,0.0016,0.82759,0.01559,0.00416,3.37865,5.32243,4.2129,0.0010184,0.0010184,0.0010184
12,567.666,2.60007,3.48587,3.48667,0.00163,0.84483,0.01351,0.00335,3.35195,5.14525,4.24456,0.00105742,0.00105742,0.00105742
13,1058.9,2.72211,3.54776,3.37928,0.0016,0.82759,0.01259,0.00308,3.35454,5.09153,4.2502,0.0010872,0.0010872,0.0010872
14,1114.12,2.61669,3.65023,3.40223,0.00167,0.86207,0.01164,0.00323,3.33119,5.00994,4.1965,0.00110774,0.00110774,0.00110774
15,1167.35,2.57764,3.43873,3.18297,0.0018,0.93103,0.01306,0.00342,3.32537,4.98536,4.06071,0.001076,0.001076,0.001076
16,1220.89,2.98466,3.9656,3.45617,0.00177,0.91379,0.11006,0.03583,3.12507,5.00825,3.58366,0.00101,0.00101,0.00101
17,1274.57,2.95345,3.464,3.26393,0.00177,0.91379,0.1858,0.08593,2.78538,5.01456,3.33962,0.000944,0.000944,0.000944
18,1327.74,3.00293,4.35357,3.47277,0.77918,0.2931,0.38493,0.22526,2.32718,4.32551,2.86288,0.000878,0.000878,0.000878
19,1383.15,2.66186,3.23715,3.24803,0.71871,0.26449,0.42481,0.23009,2.09778,4.13542,2.64211,0.000812,0.000812,0.000812
20,1441.38,2.81551,3.40203,3.33058,0.94854,0.24138,0.37555,0.2053,2.06021,4.16785,2.65858,0.000746,0.000746,0.000746
21,1500.23,2.2759,4.03021,2.94673,0.53194,0.2931,0.3806,0.21124,2.07484,4.18434,2.70168,0.00068,0.00068,0.00068
22,1560.78,2.46918,4.27294,2.96741,0.69979,0.25862,0.33541,0.18267,2.14024,4.33937,2.82809,0.000614,0.000614,0.000614
23,1646.53,2.12692,3.66529,2.84783,0.55977,0.24138,0.34961,0.19205,2.0685,4.12257,2.75543,0.000548,0.000548,0.000548
24,1725.85,2.42193,3.66876,3.06977,0.37921,0.55172,0.434,0.25793,1.99003,3.80955,2.65629,0.000482,0.000482,0.000482
25,1766.92,2.58338,3.89905,3.06071,0.40049,0.56897,0.46713,0.30746,1.95503,3.64445,2.60155,0.000416,0.000416,0.000416
26,1814.83,2.24015,3.62511,2.83669,0.73607,0.55172,0.61363,0.40467,1.89136,3.48075,2.52735,0.00035,0.00035,0.00035
27,1854.5,2.38784,3.51502,2.92024,0.72905,0.48276,0.58857,0.37068,1.87374,3.46194,2.53651,0.000284,0.000284,0.000284
28,1893.29,2.22746,3.44008,2.93411,0.71175,0.48276,0.59883,0.36348,1.88915,3.34517,2.52479,0.000218,0.000218,0.000218
29,1938.77,2.26266,3.42017,2.87796,0.69613,0.5,0.59889,0.37322,1.90752,3.26624,2.51869,0.000152,0.000152,0.000152
30,1979.16,2.29814,3.37315,2.96532,0.71624,0.48276,0.60707,0.37008,1.93724,3.21131,2.51839,8.6e-05,8.6e-05,8.6e-05
